Time,l_per,l_abs,b_per,b_abs
1662369324,37.1,418,20.8,163
1662369324,38.9,439,23.1,181
1662369341,41.8,472,26.1,204
1662369369,44.4,501,27.6,216
1662369396,44.8,505,28.0,219
1662369429,46.1,520,29.9,234
1662369458,53.3,601,35.0,274
1662369541,55.4,625,37.1,290
1662369623,57.4,648,38.7,303
1662369676,57.7,651,39.3,307
1662369799,58.3,658,39.8,311
1662369892,58.7,662,40.3,315
1662370155,59.8,674,41.2,322
1662370381,60.0,677,41.4,324
1662370637,60.0,677,41.4,324
1662370945,60.0,677,41.4,324
1662371370,63.5,716,43.4,339
1662372014,63.5,716,43.4,339
1662373051,63.5,716,43.4,339
1662374217,63.7,718,43.5,340
1662376073,63.7,718,43.5,340
1662376128,63.7,718,43.5,340
