Time,l_per,l_abs,b_per,b_abs
1662369323,37.1,418,20.8,163
1662369323,38.9,439,23.1,181
1662369336,41.5,468,25.8,202
1662369369,43.5,491,27.2,213
1662369402,44.6,503,27.9,218
1662369424,48.6,548,30.7,240
1662369454,50.1,565,32.7,256
1662369505,52.7,594,35.8,280
1662369561,54.6,616,37.9,296
1662369625,55.3,624,38.4,300
1662369700,55.8,629,38.7,303
1662369865,57.9,653,39.6,310
1662370000,58.3,658,40.4,316
1662370328,59.6,672,41.3,323
1662370623,59.6,672,41.3,323
1662371430,59.6,672,41.3,323
1662372251,59.9,676,41.6,325
1662373120,59.9,676,41.6,325
1662374155,59.9,676,41.6,325
1662375294,60.2,679,41.7,326
1662376454,60.2,679,42.1,329
