Time,l_per,l_abs,b_per,b_abs
1662358743,16.2,534,8.2,155
1662358743,16.2,534,8.2,155
1662358743,16.3,538,8.3,157
1662358743,16.3,538,8.3,157
1662358758,25.5,841,16.6,316
1662358765,26.0,859,17.8,337
1662358775,26.2,864,18.0,342
1662358819,30.6,1013,22.0,418
1662358853,30.9,1022,22.1,420
1662358953,40.5,1341,26.9,510
1662359108,41.5,1374,28.1,534
1662359343,42.6,1411,29.4,558
1662359579,42.7,1416,29.7,563
1662359904,43.2,1433,30.9,586
1662360444,43.3,1435,31.1,590
1662360901,43.3,1435,31.1,590
1662361468,43.3,1435,31.1,590
1662363719,43.4,1438,31.5,598
1662364705,43.4,1438,31.5,598
