Time,l_per,l_abs,b_per,b_abs
1662340762,37.1,418,20.8,163
1662340766,38.9,439,23.1,181
1662340900,41.7,470,25.8,202
1662341200,43.9,495,27.2,213
1662341663,44.9,507,28.1,220
1662341903,49.7,561,31.7,248
1662342188,52.3,590,34.8,272
1662343038,53.5,604,36.1,282
1662343684,54.1,610,37.0,289
1662344393,57.3,646,38.9,304
1662345975,58.3,658,40.0,313
1662347682,61.7,696,41.8,327
1662347801,61.9,698,41.9,328
