Time,l_per,l_abs,b_per,b_abs
1662549762,37.1,418,20.8,163
1662549762,38.9,439,23.1,181
1662549805,44.0,496,27.1,212
1662549859,49.3,556,30.7,240
1662549924,52.4,591,35.3,276
1662550105,57.3,646,39.5,309
1662550649,59.2,668,41.2,322
1662551442,62.9,709,43.2,338
1662552574,62.9,710,43.4,339
1662554314,63.2,713,43.5,340
1662559873,63.5,716,43.7,342
1662566607,64.1,723,44.4,347
1662573319,64.5,727,45.1,353
1662577973,64.5,727,45.1,353
