Time,l_per,l_abs,b_per,b_abs
1662357852,16.2,534,8.2,155
1662357854,16.2,534,8.2,155
1662357855,16.3,538,8.3,157
1662357857,16.3,538,8.3,157
1662358085,25.7,849,17.2,326
1662358344,25.9,854,17.5,333
1662358832,26.0,860,17.9,340
1662359328,27.1,896,19.7,374
1662360655,27.3,900,19.9,377
1662363840,27.3,900,19.9,377
1662365046,27.3,900,19.9,377
