Time,l_per,l_abs,b_per,b_abs
1662599706,14.5,3094,8.7,1434
1662599707,15.1,3237,8.9,1471
1662599707,18.1,3887,10.8,1778
1662599708,20.6,4411,12.1,1996
1662599708,22.4,4819,13.1,2152
1662599708,23.4,5024,13.8,2274
1662599709,24.0,5163,14.3,2349
1662599732,24.3,5219,14.8,2432
1662599758,24.3,5223,14.9,2452
1662599793,24.5,5267,15.1,2490
1662599844,24.6,5282,15.4,2527
1662599909,24.6,5297,15.5,2553
1662599969,24.7,5307,15.6,2569
1662600096,24.7,5307,15.6,2573
1662600424,24.7,5316,15.7,2582
1662600719,24.8,5329,15.7,2591
1662601012,24.8,5330,15.8,2593
1662601629,24.9,5364,15.9,2619
1662603005,25.0,5366,16.0,2630
1662604067,25.5,5475,16.3,2676
1662605698,25.5,5490,16.3,2686
1662607806,25.7,5539,16.5,2712
1662610535,25.8,5544,16.5,2720
1662614533,25.8,5545,16.6,2726
1662618421,25.8,5548,16.6,2732
1662623101,25.8,5555,16.6,2739
1662628186,26.0,5586,16.7,2753
