Time,l_per,l_abs,b_per,b_abs
1662348102,14.5,3094,8.7,1434
1662348103,15.1,3237,8.9,1471
1662348103,18.1,3887,10.8,1778
1662348103,20.6,4411,12.1,1996
1662348103,22.4,4819,13.1,2152
1662348103,23.4,5024,13.8,2274
1662348104,24.0,5163,14.3,2349
1662348114,24.2,5204,14.6,2399
1662348127,24.2,5206,14.7,2412
1662348137,24.2,5211,14.7,2420
1662348153,24.2,5213,14.7,2425
1662348170,24.3,5214,14.8,2439
1662348179,24.3,5223,14.9,2453
1662348196,24.3,5230,14.9,2460
1662348219,24.3,5234,15.0,2472
1662348232,24.3,5234,15.0,2477
1662348259,24.3,5234,15.1,2480
1662348281,24.4,5239,15.1,2487
1662348321,24.4,5239,15.1,2487
1662348355,24.4,5248,15.2,2503
1662348402,24.5,5260,15.3,2517
1662348425,24.8,5337,15.5,2557
1662348461,24.8,5339,15.6,2565
1662348523,24.9,5348,15.6,2570
1662348577,24.9,5350,15.6,2574
1662348639,24.9,5365,15.7,2584
1662348739,24.9,5365,15.7,2585
1662349019,24.9,5365,15.7,2589
1662349070,24.9,5365,15.7,2591
1662349185,24.9,5365,15.8,2593
1662349309,24.9,5365,15.8,2593
1662349466,25.0,5371,15.8,2608
1662349633,25.0,5371,15.9,2609
1662349842,25.0,5373,15.9,2613
1662349984,25.0,5373,15.9,2613
1662350092,25.0,5386,15.9,2620
1662350267,25.1,5399,16.0,2630
1662350483,25.1,5404,16.0,2633
1662350836,25.1,5404,16.0,2633
1662351019,25.2,5415,16.1,2644
1662351520,25.2,5416,16.1,2646
1662351802,25.8,5548,16.6,2732
1662352202,26.0,5596,16.7,2757
1662352644,26.0,5598,16.8,2758
1662353102,26.0,5600,16.8,2762
1662353825,26.1,5610,16.8,2772
1662354068,26.2,5645,17.0,2794
1662354595,26.2,5645,17.0,2794
1662355247,26.2,5646,17.0,2797
1662355284,26.2,5646,17.0,2797
