Time,l_per,l_abs,b_per,b_abs
1660642853,12.3,1560,8.0,953
1660642861,12.7,1612,8.4,1007
1660642871,12.7,1612,8.4,1007
1660642889,12.7,1614,8.5,1011
1660642958,12.7,1614,8.5,1011
1660643050,12.7,1614,8.5,1011
1660643113,12.7,1614,8.5,1011
1660643249,12.9,1638,8.6,1026
1660643347,12.9,1638,8.6,1027
1660643480,12.9,1641,8.6,1030
1660643668,13.0,1648,8.6,1033
1660643931,13.0,1652,8.7,1037
1660644178,13.0,1652,8.7,1037
1660645070,13.2,1680,8.8,1048
1660647339,13.2,1680,8.8,1049
1660649812,13.2,1680,8.8,1049
