Time,l_per,l_abs,b_per,b_abs
1662358745,16.2,534,8.2,155
1662358745,16.2,534,8.2,155
1662358745,16.3,538,8.3,157
1662358745,16.3,538,8.3,157
1662358758,25.7,847,17.0,322
1662358771,26.0,858,17.9,339
1662358785,26.1,863,18.0,341
1662358816,26.2,864,18.0,342
1662358949,30.6,1010,22.0,418
1662359152,30.6,1013,22.1,420
1662359428,30.8,1017,22.2,421
1662359495,30.8,1017,22.2,421
1662359731,30.8,1017,22.2,421
1662360032,31.1,1028,22.4,425
1662360946,32.3,1067,23.9,453
1662361570,33.4,1104,24.9,473
1662362678,33.7,1113,25.7,488
1662363400,34.0,1125,26.4,502
1662365216,34.0,1125,26.7,506
