Time,l_per,l_abs,b_per,b_abs
1662332326,9.0,1145,5.6,675
1662332352,9.7,1235,6.0,718
1662332382,9.7,1235,6.0,718
1662332438,9.8,1249,6.1,726
1662332518,10.0,1267,6.2,745
1662332674,10.0,1268,6.2,746
1662332798,10.5,1337,6.7,801
1662332973,10.5,1338,6.7,803
1662333103,10.6,1346,6.8,812
1662333289,10.6,1347,6.8,814
1662333583,10.6,1347,6.8,814
1662334134,10.6,1348,6.8,815
1662334975,10.6,1348,6.8,815
1662335798,11.0,1393,7.1,846
1662336466,11.0,1393,7.1,846
1662337158,11.0,1393,7.1,847
1662338997,11.0,1393,7.1,847
1662339356,11.0,1393,7.1,847
