Time,l_per,l_abs,b_per,b_abs
1662348101,14.5,3094,8.7,1434
1662348101,15.1,3237,8.9,1471
1662348101,18.1,3887,10.8,1778
1662348101,20.6,4411,12.1,1996
1662348101,22.4,4819,13.1,2152
1662348101,23.4,5024,13.8,2274
1662348101,24.0,5163,14.3,2349
1662348115,24.2,5204,14.6,2407
1662348125,24.2,5204,14.6,2408
1662348136,24.3,5215,14.8,2428
1662348148,24.3,5215,14.8,2431
1662348169,24.3,5216,14.8,2443
1662348179,24.3,5217,14.9,2449
1662348202,24.3,5228,15.0,2461
1662348216,24.3,5232,15.0,2471
1662348238,24.3,5235,15.1,2478
1662348268,24.5,5264,15.2,2497
1662348300,24.5,5270,15.2,2504
1662348346,24.6,5284,15.3,2517
1662348384,24.7,5301,15.4,2542
1662348415,24.7,5301,15.5,2544
1662348442,24.7,5303,15.5,2550
1662348493,24.7,5305,15.5,2557
1662348528,24.7,5306,15.6,2565
1662348563,24.7,5306,15.6,2565
1662348648,24.7,5306,15.6,2567
1662348765,24.7,5306,15.6,2568
1662348876,24.8,5323,15.7,2581
1662349022,24.8,5323,15.7,2583
1662349110,24.8,5324,15.7,2588
1662349200,24.8,5327,15.8,2593
1662349354,24.8,5327,15.8,2595
1662349472,24.8,5327,15.8,2597
1662349616,24.8,5332,15.8,2603
1662349752,24.9,5347,15.9,2613
1662349920,25.1,5403,16.0,2639
1662350061,25.1,5405,16.0,2641
1662350408,25.4,5455,16.1,2658
1662350867,25.4,5455,16.1,2658
1662351455,25.4,5455,16.1,2658
1662352108,25.4,5458,16.1,2658
1662353176,25.4,5458,16.2,2659
1662354037,25.4,5474,16.2,2667
1662354859,25.5,5486,16.2,2671
1662355260,25.5,5486,16.2,2671
