Time,l_per,l_abs,b_per,b_abs
1662670726,4.1,134,1.8,35
1662670726,4.1,134,1.8,35
1662670726,4.1,134,1.8,35
1662670726,4.1,134,1.8,35
1662670730,4.1,134,1.9,36
1662670730,5.0,166,2.6,49
1662670731,6.0,198,3.3,63
1662670734,6.0,199,3.4,64
1662670742,10.8,357,5.1,96
1662670753,11.1,367,5.3,100
1662670770,11.1,367,5.3,100
1662670787,11.3,374,5.5,105
1662670793,11.3,374,5.5,105
1662670799,11.3,374,5.5,105
1662670820,11.3,374,5.5,105
1662670832,11.3,374,5.5,105
1662670846,11.3,374,5.5,105
1662670871,11.3,374,5.5,105
1662670878,11.5,378,5.7,109
1662670900,11.5,378,5.8,110
1662670925,11.5,378,5.8,110
1662670943,11.5,378,5.8,110
1662670973,11.5,378,5.8,110
1662671007,11.5,378,5.8,110
1662671095,11.5,378,5.8,110
1662671278,16.7,552,9.5,180
1662671346,16.7,552,9.5,180
1662671467,16.7,552,9.5,180
1662671669,16.7,552,9.5,180
1662671858,16.7,552,9.5,180
1662672094,22.9,756,13.9,263
1662672612,25.3,835,16.6,315
1662673212,25.3,835,16.6,315
1662673801,25.3,835,16.6,315
1662674136,25.3,835,16.6,315
1662674541,25.3,835,16.6,315
1662674909,25.3,835,16.6,315
1662675345,25.3,835,16.6,315
1662677079,25.3,835,16.6,315
1662681752,25.3,835,16.6,316
1662682059,25.3,835,16.6,316
1662686389,25.3,835,16.6,316
1662692098,25.4,838,16.8,318
1662692538,25.4,838,16.8,318
