Time,l_per,l_abs,b_per,b_abs
1662599657,14.4,3081,8.7,1431
1662599657,15.1,3237,8.9,1471
1662599657,18.1,3887,10.8,1778
1662599657,20.6,4411,12.1,1996
1662599657,22.4,4819,13.1,2152
1662599657,23.4,5024,13.8,2274
1662599657,24.0,5163,14.3,2349
1662599673,24.3,5214,14.7,2416
1662599696,24.3,5226,14.9,2453
1662599711,24.3,5227,14.9,2459
1662599750,24.5,5263,15.1,2485
1662599787,24.5,5272,15.3,2515
1662599833,24.5,5277,15.3,2526
1662599905,24.6,5288,15.4,2532
1662599953,24.7,5303,15.5,2553
1662600027,24.7,5306,15.6,2564
1662600124,24.7,5306,15.6,2568
1662600251,24.7,5309,15.7,2577
1662600429,24.7,5309,15.7,2585
1662600579,24.9,5346,15.9,2618
1662600885,24.9,5346,15.9,2618
1662601220,25.0,5386,16.0,2641
1662601550,25.3,5432,16.1,2658
1662602089,25.4,5458,16.4,2698
1662602945,25.5,5491,16.5,2718
1662603685,25.6,5501,16.6,2727
1662605100,25.6,5504,16.6,2730
1662606684,25.7,5532,16.7,2756
1662608196,25.7,5538,16.8,2760
1662609871,26.2,5631,17.0,2801
1662611826,26.2,5632,17.0,2803
1662614842,26.2,5639,17.1,2810
1662618034,26.2,5640,17.1,2811
1662621470,26.2,5640,17.1,2813
1662624892,26.3,5658,17.2,2823
1662628336,26.3,5659,17.2,2824
