Time,l_per,l_abs,b_per,b_abs
1662599704,14.5,3094,8.7,1434
1662599705,15.1,3237,8.9,1471
1662599705,18.1,3887,10.8,1778
1662599707,20.6,4411,12.1,1996
1662599707,22.4,4819,13.1,2152
1662599708,23.4,5024,13.8,2274
1662599708,24.0,5163,14.3,2349
1662599730,24.5,5257,15.0,2469
1662599752,24.5,5268,15.2,2502
1662599782,24.5,5268,15.3,2511
1662599827,24.5,5268,15.3,2517
1662599890,24.5,5276,15.4,2531
1662600018,24.7,5301,15.5,2552
1662600251,24.7,5301,15.5,2559
1662600420,24.7,5301,15.6,2568
1662600659,24.7,5301,15.6,2572
1662600901,24.7,5311,15.7,2583
1662601461,24.7,5321,15.8,2593
1662602364,24.8,5336,15.8,2604
1662603773,24.9,5351,15.9,2615
1662605034,24.9,5355,15.9,2621
1662608238,24.9,5359,16.0,2633
1662611891,25.4,5464,16.3,2680
1662616176,25.6,5501,16.4,2697
1662621391,25.6,5503,16.4,2699
1662624122,25.7,5532,16.5,2722
1662628360,25.9,5574,16.6,2735
1662628360,25.9,5574,16.6,2735
