Time,l_per,l_abs,b_per,b_abs
1662340792,37.1,418,20.8,163
1662340792,38.9,439,23.1,181
1662340814,41.6,469,26.2,205
1662340837,44.6,503,27.6,216
1662340873,45.8,517,28.8,225
1662340930,50.5,570,32.9,257
1662340955,54.4,614,35.7,279
1662341019,55.9,630,37.2,291
1662341109,56.5,637,37.9,296
1662341364,57.4,647,38.9,304
1662341410,61.6,695,41.7,326
1662341485,61.6,695,41.7,326
1662341703,61.8,697,41.9,328
1662341922,62.0,699,42.1,329
1662342482,63.1,712,43.2,338
1662343007,63.1,712,43.2,338
1662344058,63.1,712,43.2,338
1662344630,63.1,712,43.2,338
1662345908,63.2,713,43.4,339
1662347263,63.2,713,43.4,339
1662347669,63.2,713,43.4,339
