Time,l_per,l_abs,b_per,b_abs
1662670722,4.1,134,1.8,35
1662670722,4.1,134,1.8,35
1662670722,4.1,134,1.8,35
1662670722,4.1,134,1.8,35
1662670726,4.1,134,1.8,35
1662670727,5.6,186,2.8,54
1662670729,5.8,190,3.1,58
1662670738,6.2,204,3.6,69
1662670744,6.2,204,3.6,69
1662670747,6.2,205,3.8,72
1662670750,6.2,205,3.8,72
1662670771,6.2,205,3.8,72
1662670779,6.2,205,3.8,73
1662670801,6.2,205,3.8,73
1662670823,6.2,205,3.8,73
1662670846,6.2,205,3.8,73
1662670871,6.4,211,4.1,77
1662670911,6.4,211,4.1,77
1662670917,6.4,211,4.1,77
1662670952,6.4,211,4.1,77
1662670983,6.4,211,4.1,77
1662671049,6.4,211,4.1,77
1662671208,6.4,211,4.1,77
1662671256,6.4,211,4.1,77
1662671314,6.4,211,4.1,77
1662671314,6.4,211,4.1,77
1662671370,6.4,211,4.1,77
1662671446,6.4,211,4.1,77
1662671569,6.4,211,4.1,77
1662671654,6.4,211,4.1,77
1662672051,6.4,211,4.1,77
1662672903,6.4,211,4.1,77
1662674302,6.4,211,4.1,77
1662675274,6.4,211,4.1,77
1662676167,6.4,211,4.1,77
1662678971,6.4,211,4.1,77
1662681421,6.4,211,4.1,77
1662690776,11.2,368,5.6,106
1662699165,11.2,368,5.6,106
1662699188,11.2,368,5.6,106
