Time,l_per,l_abs,b_per,b_abs
1662670734,4.1,134,1.8,35
1662670734,4.1,134,1.8,35
1662670735,4.1,134,1.8,35
1662670735,4.1,134,1.8,35
1662670739,4.1,134,1.9,36
1662670744,4.4,146,2.1,40
1662670764,5.9,193,3.2,60
1662670810,10.9,360,5.1,97
1662670830,11.0,361,5.3,100
1662670842,11.0,361,5.3,100
1662670889,11.0,361,5.3,100
1662670994,11.0,361,5.3,100
1662671029,11.0,361,5.3,100
1662671106,11.0,361,5.3,100
1662671183,11.0,361,5.3,100
1662671385,11.5,378,5.8,110
1662671518,11.5,378,5.8,110
1662672012,11.5,378,5.8,110
1662672333,11.5,378,5.8,110
1662673522,11.5,378,5.8,110
1662673847,11.5,378,5.8,110
1662675133,11.5,378,5.8,110
1662675776,11.5,378,5.8,110
1662677261,11.5,378,5.8,110
1662679255,11.5,378,5.8,110
1662683946,11.6,383,5.8,111
1662683980,11.6,383,5.8,111
1662684081,11.6,383,5.8,111
1662684432,11.6,383,5.8,111
1662686162,11.6,383,5.8,111
1662687565,11.6,383,5.8,111
1662689190,11.6,383,5.8,111
1662689585,11.6,383,5.8,111
1662690567,11.6,383,5.8,111
1662694429,11.6,383,5.8,111
1662698753,11.6,383,5.8,111
1662699099,11.6,383,5.8,111
