time,subject,fuzzer,run,cov_type,cov
1662599657,live555,snapfuzz,2,b_abs,1471
1662599657,live555,snapfuzz,2,l_per,18.1
1662599657,live555,snapfuzz,2,l_abs,3887
1662599657,live555,snapfuzz,2,b_per,10.8
1662599657,live555,snapfuzz,2,b_abs,1778
1662599657,live555,snapfuzz,2,l_per,20.6
1662599657,live555,snapfuzz,2,l_abs,4411
1662599657,live555,snapfuzz,2,b_per,12.1
1662599657,live555,snapfuzz,2,b_abs,1996
1662599657,live555,snapfuzz,2,l_per,22.4
1662599657,live555,snapfuzz,2,l_abs,4819
1662599657,live555,snapfuzz,2,b_per,13.1
1662599657,live555,snapfuzz,2,b_abs,2152
1662599657,live555,snapfuzz,2,l_per,23.4
1662599657,live555,snapfuzz,2,l_abs,5024
1662599657,live555,snapfuzz,2,b_per,13.8
1662599657,live555,snapfuzz,2,b_abs,2274
1662599657,live555,snapfuzz,2,l_per,24.0
1662599657,live555,snapfuzz,2,l_abs,5163
1662599657,live555,snapfuzz,2,b_per,14.3
1662599657,live555,snapfuzz,2,b_abs,2349
1662599673,live555,snapfuzz,2,l_per,24.3
1662599673,live555,snapfuzz,2,l_abs,5214
1662599673,live555,snapfuzz,2,b_per,14.7
1662599673,live555,snapfuzz,2,b_abs,2416
1662599696,live555,snapfuzz,2,l_per,24.3
1662599696,live555,snapfuzz,2,l_abs,5226
1662599696,live555,snapfuzz,2,b_per,14.9
1662599696,live555,snapfuzz,2,b_abs,2453
1662599711,live555,snapfuzz,2,l_per,24.3
1662599711,live555,snapfuzz,2,l_abs,5227
1662599711,live555,snapfuzz,2,b_per,14.9
1662599711,live555,snapfuzz,2,b_abs,2459
1662599750,live555,snapfuzz,2,l_per,24.5
1662599750,live555,snapfuzz,2,l_abs,5263
1662599750,live555,snapfuzz,2,b_per,15.1
1662599750,live555,snapfuzz,2,b_abs,2485
1662599787,live555,snapfuzz,2,l_per,24.5
1662599787,live555,snapfuzz,2,l_abs,5272
1662599787,live555,snapfuzz,2,b_per,15.3
