Time,l_per,l_abs,b_per,b_abs
1662670733,4.1,134,1.8,35
1662670733,4.1,134,1.8,35
1662670733,4.1,134,1.8,35
1662670733,4.1,134,1.8,35
1662670737,4.1,134,1.9,36
1662670743,5.1,167,2.6,50
1662670749,5.1,167,2.7,51
1662670775,6.0,199,3.4,64
1662670815,6.0,199,3.4,64
1662670866,6.1,200,3.5,67
1662670918,11.1,367,5.2,99
1662671018,11.1,367,5.3,100
1662671084,11.3,371,5.5,104
1662671147,11.3,371,5.5,104
1662671205,11.3,371,5.5,104
1662671290,11.3,371,5.5,104
1662671779,20.2,668,10.7,203
1662672061,20.4,675,11.0,208
1662672531,20.4,675,11.0,208
1662673088,20.4,675,11.0,208
1662674497,20.4,675,11.0,208
1662675428,20.4,675,11.0,208
1662675746,20.4,675,11.0,208
1662676919,20.4,675,11.0,208
1662680238,20.4,675,11.0,208
1662682179,20.4,675,11.0,208
1662685097,20.4,675,11.0,208
1662692847,20.4,675,11.0,208
1662692868,20.4,675,11.0,208
1662692950,20.4,675,11.0,208
1662693117,20.4,675,11.0,208
1662693972,20.4,675,11.0,208
1662694234,20.4,675,11.0,208
1662696595,20.4,675,11.0,208
1662698439,20.4,675,11.0,208
1662699136,20.4,675,11.0,208
1662699136,20.4,675,11.0,208
