Time,l_per,l_abs,b_per,b_abs
1660642852,12.3,1560,8.0,953
1660642857,12.7,1610,8.4,1003
1660642860,12.7,1612,8.4,1007
1660642866,12.7,1613,8.4,1008
1660642891,12.9,1637,8.6,1026
1660642912,12.9,1640,8.6,1029
1660642960,12.9,1640,8.6,1029
1660643001,13.0,1653,8.7,1040
1660643101,13.0,1653,8.7,1040
1660643237,13.0,1653,8.7,1040
1660643336,13.0,1654,8.7,1041
1660643550,13.0,1654,8.7,1041
1660643932,13.2,1675,8.8,1050
1660644369,13.2,1675,8.8,1050
1660645393,13.5,1709,9.0,1073
1660648541,13.5,1711,9.0,1075
1660649611,13.5,1714,9.0,1081
