Time,l_per,l_abs,b_per,b_abs
1660559652,16.2,534,8.2,155
1660559652,16.2,534,8.2,155
1660559652,16.3,538,8.3,157
1660559652,16.3,538,8.3,157
1660559666,25.6,846,16.8,319
1660559682,25.9,855,17.3,328
1660559711,26.3,867,18.1,344
1660559811,26.3,867,18.2,346
1660560259,26.3,867,18.2,346
1660560521,40.0,1326,26.1,496
1660560837,40.3,1335,26.5,503
1660561078,40.8,1352,27.5,522
1660561648,41.2,1366,27.9,529
1660562456,42.7,1415,30.5,579
1660562688,43.0,1426,30.7,582
1660564187,43.0,1426,30.7,582
1660566718,43.1,1428,30.8,584
