Time,l_per,l_abs,b_per,b_abs
1660655374,9.0,1145,5.6,675
1660655399,9.8,1249,6.1,727
1660655431,9.8,1249,6.1,727
1660655479,10.3,1306,6.5,772
1660655558,10.4,1321,6.6,785
1660655663,10.4,1321,6.6,785
1660655842,10.4,1321,6.6,785
1660655973,10.4,1321,6.6,785
1660656200,10.4,1321,6.6,785
1660656441,10.4,1326,6.6,793
1660656710,10.4,1326,6.6,793
1660657227,10.5,1338,6.7,804
1660657736,10.5,1339,6.7,806
1660658344,10.6,1340,6.7,807
1660659670,10.6,1340,6.7,807
1660660629,10.7,1356,6.9,821
1660661666,10.7,1356,6.9,821
1660662235,10.7,1357,6.9,822
