Time,l_per,l_abs,b_per,b_abs
1662348031,14.5,3094,8.7,1434
1662348032,15.1,3237,8.9,1471
1662348033,18.1,3887,10.8,1778
1662348035,20.6,4411,12.1,1996
1662348035,22.4,4819,13.1,2152
1662348037,23.4,5024,13.8,2274
1662348039,24.0,5163,14.3,2349
1662348049,24.2,5205,14.6,2405
1662348060,24.3,5218,14.8,2429
1662348074,24.3,5233,15.0,2475
1662348093,24.4,5236,15.1,2485
1662348112,24.4,5236,15.1,2486
1662348132,24.4,5249,15.2,2506
1662348153,24.5,5274,15.3,2520
1662348182,24.6,5288,15.4,2539
1662348217,24.6,5297,15.5,2546
1662348252,24.6,5297,15.5,2549
1662348292,24.6,5297,15.5,2551
1662348339,24.6,5297,15.5,2553
1662348396,24.6,5297,15.5,2554
1662348477,24.6,5297,15.5,2554
1662348576,24.6,5297,15.5,2554
1662348691,24.6,5297,15.5,2558
1662348823,24.7,5304,15.6,2570
1662348876,24.7,5307,15.6,2572
1662349065,24.7,5307,15.6,2574
1662349349,24.7,5307,15.6,2575
1662349676,24.8,5322,15.7,2591
1662350001,24.8,5322,15.7,2591
1662350290,24.8,5322,15.7,2591
1662350370,24.8,5324,15.8,2593
1662350474,24.8,5325,15.8,2597
1662350864,24.9,5361,15.9,2617
1662351373,25.0,5385,16.0,2628
1662352212,25.0,5387,16.0,2631
1662353137,25.1,5391,16.0,2639
1662353703,25.1,5391,16.0,2639
1662354650,25.1,5405,16.1,2648
1662355205,25.1,5405,16.1,2648
