Time,l_per,l_abs,b_per,b_abs
1662340793,37.1,418,20.8,163
1662340794,38.9,439,23.1,181
1662340810,41.0,463,25.7,201
1662340839,43.5,491,26.6,208
1662340859,45.4,512,27.9,218
1662340890,49.2,555,30.9,242
1662340913,50.2,566,32.1,251
1662340947,55.1,621,36.3,284
1662341036,56.0,632,37.5,293
1662341119,56.2,634,37.7,295
1662341454,57.0,643,38.7,303
1662341557,57.9,653,39.8,311
1662341680,58.2,657,40.0,313
1662342795,59.0,666,40.5,317
1662343087,59.4,670,40.9,320
1662344708,59.4,670,40.9,320
1662345219,59.4,670,41.0,321
1662347893,59.4,670,41.0,321
