Time,l_per,l_abs,b_per,b_abs
1662340789,37.1,418,20.8,163
1662340790,38.9,439,23.1,181
1662340803,41.1,464,26.0,203
1662340836,43.9,495,27.2,213
1662340864,44.5,502,27.7,217
1662340887,46.5,524,30.3,237
1662340951,53.9,608,35.3,276
1662340992,55.0,620,36.7,287
1662341167,57.2,645,38.6,302
1662341268,58.0,654,39.3,307
1662341478,58.2,657,39.6,310
1662341523,62.0,699,41.9,328
1662341631,62.2,702,42.3,331
1662341872,62.6,706,42.6,333
1662342513,62.8,708,42.7,334
1662343321,62.8,708,42.8,335
1662343855,63.2,713,43.2,338
1662344751,63.2,713,43.2,338
1662346078,63.2,713,43.2,338
1662347681,63.2,713,43.2,338
