Time,l_per,l_abs,b_per,b_abs
1662599659,14.5,3094,8.7,1434
1662599659,15.1,3237,8.9,1471
1662599659,18.1,3887,10.8,1778
1662599659,20.6,4411,12.1,1996
1662599659,22.4,4819,13.1,2152
1662599659,23.4,5024,13.8,2274
1662599659,24.0,5163,14.3,2350
1662599678,24.4,5240,14.9,2447
1662599703,24.4,5253,15.0,2461
1662599742,24.5,5261,15.1,2482
1662599778,24.5,5264,15.1,2488
1662599819,24.6,5281,15.3,2520
1662599894,24.6,5290,15.4,2531
1662599994,24.8,5326,15.7,2582
1662600069,24.8,5335,15.8,2593
1662600150,24.9,5348,15.8,2605
1662600302,24.9,5349,15.8,2607
1662600519,24.9,5349,15.9,2614
1662600754,24.9,5349,15.9,2618
1662600990,24.9,5354,16.0,2628
1662601214,25.1,5403,16.1,2657
1662601733,25.1,5403,16.1,2657
1662602573,25.1,5405,16.2,2660
1662603550,25.1,5409,16.2,2664
1662605030,25.2,5416,16.2,2672
1662606678,25.3,5448,16.3,2689
1662608540,25.5,5496,16.4,2706
1662610945,25.5,5498,16.5,2711
1662615152,25.5,5498,16.5,2713
1662617992,25.6,5504,16.5,2716
1662623495,25.9,5582,16.7,2742
1662628446,25.9,5582,16.7,2742
