Time,l_per,l_abs,b_per,b_abs
1662358742,16.2,534,8.2,155
1662358742,16.2,534,8.2,155
1662358742,16.3,538,8.3,157
1662358742,16.3,538,8.3,157
1662358752,25.5,841,16.6,316
1662358767,26.1,861,17.9,340
1662358785,31.3,1034,22.7,430
1662358834,31.3,1035,22.7,431
1662358947,32.0,1058,23.8,452
1662359064,32.7,1080,24.6,467
1662359375,33.9,1122,25.9,492
1662359672,34.3,1134,26.9,510
1662359886,34.3,1135,27.0,512
1662360156,34.3,1135,27.0,512
1662360389,34.3,1135,27.0,512
1662360622,34.3,1135,27.0,512
1662361443,34.3,1135,27.1,514
1662362264,34.3,1135,27.1,514
1662363813,34.3,1135,27.1,514
1662365927,34.6,1144,28.0,531
1662365927,34.6,1144,28.0,531
