Time,l_per,l_abs,b_per,b_abs
1662670735,4.1,134,1.8,35
1662670736,4.1,134,1.8,35
1662670736,4.1,134,1.8,35
1662670736,4.1,134,1.8,35
1662670740,4.1,134,1.8,35
1662670745,5.6,186,2.8,53
1662670749,5.7,187,2.9,55
1662670811,5.9,193,3.2,60
1662670869,6.0,199,3.4,64
1662670968,6.3,207,3.8,73
1662671027,6.3,207,3.8,73
1662671086,6.3,207,3.8,73
1662671241,6.3,207,3.8,73
1662671391,6.3,207,3.8,73
1662671507,6.3,207,3.8,73
1662671761,6.3,207,3.8,73
1662672498,11.3,374,5.6,106
1662672830,11.3,374,5.6,106
1662673144,11.5,379,5.6,107
1662673201,11.5,379,5.6,107
1662673556,11.5,379,5.6,107
1662674277,11.6,383,5.8,111
1662674694,11.6,383,5.8,111
1662675466,11.6,383,5.8,111
1662676572,11.6,383,5.8,111
1662677659,11.6,383,5.8,111
1662681179,11.6,383,5.8,111
1662690426,16.7,552,9.5,180
1662692412,25.3,836,16.3,310
1662692425,25.3,836,16.3,310
1662692485,25.3,836,16.3,310
1662692629,25.3,836,16.3,310
1662693139,25.3,836,16.3,310
1662693547,25.3,836,16.3,310
1662693661,25.8,853,16.9,321
1662693799,26.0,860,17.2,327
1662694118,26.0,860,17.3,328
1662694953,26.0,860,17.3,328
1662696415,26.0,860,17.3,328
1662698668,26.0,860,17.3,328
1662699100,26.0,860,17.3,328
