Time,l_per,l_abs,b_per,b_abs
1662635999,16.2,534,8.2,155
1662636002,16.2,534,8.2,155
1662636003,16.3,538,8.3,157
1662636005,16.3,538,8.3,157
1662636539,26.5,874,18.2,346
1662637559,27.1,894,19.3,367
1662639209,32.2,1066,24.1,458
1662642937,32.5,1074,24.7,469
1662654111,32.5,1076,24.8,471
1662664797,32.6,1078,24.9,473
