Time,l_per,l_abs,b_per,b_abs
1660631127,14.4,3080,8.7,1431
1660631129,15.1,3237,8.9,1471
1660631131,18.1,3887,10.8,1778
1660631132,20.6,4411,12.1,1996
1660631133,22.4,4819,13.1,2152
1660631133,23.4,5024,13.8,2274
1660631133,24.0,5163,14.3,2349
1660631145,24.2,5209,14.6,2406
1660631154,24.2,5212,14.7,2425
1660631162,24.3,5224,14.8,2440
1660631173,24.3,5224,14.8,2444
1660631188,24.5,5275,15.2,2497
1660631205,24.6,5284,15.3,2520
1660631224,24.6,5294,15.4,2530
1660631242,24.6,5294,15.4,2534
1660631265,24.6,5294,15.4,2534
1660631296,24.6,5294,15.4,2543
1660631333,24.6,5294,15.5,2545
1660631386,24.6,5298,15.5,2550
1660631434,24.6,5298,15.5,2551
1660631481,24.8,5329,15.7,2586
1660631543,24.8,5330,15.8,2595
1660631671,24.8,5332,15.8,2602
1660631763,24.8,5332,15.8,2602
1660631940,24.8,5332,15.8,2605
1660632073,24.8,5333,15.9,2609
1660632210,24.8,5334,15.9,2612
1660632417,24.8,5334,15.9,2613
1660632609,24.8,5334,15.9,2614
1660632999,24.9,5359,16.0,2628
1660633539,25.0,5368,16.0,2636
1660633949,25.0,5368,16.0,2636
1660634766,25.3,5452,16.2,2668
1660635443,25.5,5476,16.3,2689
1660636488,25.5,5476,16.3,2690
1660637766,25.5,5477,16.4,2694
1660638309,25.5,5478,16.4,2695
