fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,7196,49480,6.876042245692052,6.9,10.7
aflnet-4,2,7196,43456,6.038910505836576,7.1,11.1
aflnet-4,3,7196,35832,4.979433018343524,6.9,10.7
aflnet-4,4,7196,56196,7.809338521400778,7.7,11.7
snapfuzz-4,1,7196,1746937,242.76500833796553,8.9,13.3
snapfuzz-4,2,7196,1945040,270.2946081156198,9.0,13.5
snapfuzz-4,3,7196,1906829,264.9845747637576,8.8,13.2
snapfuzz-4,4,7196,1587208,220.568093385214,8.8,13.2
aflnet-4,average,7196.0,46241.0,6.425931072818233,7.1499999999999995,11.05
snapfuzz-4,average,7196.0,1796503.5,249.65307115063922,8.875,13.3
