Time,l_per,l_abs,b_per,b_abs
1660631133,14.5,3094,8.7,1434
1660631133,15.1,3237,8.9,1471
1660631133,18.1,3887,10.8,1778
1660631135,20.6,4411,12.1,1996
1660631136,22.4,4819,13.1,2152
1660631137,23.4,5024,13.8,2274
1660631138,24.0,5163,14.3,2349
1660631151,24.3,5217,14.8,2428
1660631167,24.3,5232,15.0,2467
1660631182,24.3,5232,15.0,2476
1660631195,24.4,5248,15.1,2490
1660631214,24.4,5249,15.1,2491
1660631235,24.5,5264,15.2,2506
1660631257,24.5,5264,15.2,2507
1660631279,24.5,5264,15.2,2509
1660631303,24.6,5280,15.4,2528
1660631341,24.6,5285,15.4,2533
1660631392,24.6,5286,15.4,2536
1660631460,24.6,5287,15.4,2540
1660631606,24.6,5293,15.5,2546
1660631758,24.6,5295,15.5,2556
1660631870,24.7,5312,15.6,2571
1660631998,24.7,5314,15.7,2579
1660632145,24.7,5314,15.7,2580
1660632233,24.7,5322,15.7,2589
1660632313,24.8,5325,15.8,2595
1660632580,24.8,5334,15.8,2599
1660632855,24.8,5336,15.8,2604
1660632969,25.0,5381,16.1,2648
1660633207,25.1,5395,16.2,2663
1660633416,25.3,5433,16.3,2681
1660633709,25.6,5511,16.5,2708
1660634157,25.6,5511,16.5,2710
1660634384,25.7,5521,16.5,2712
1660635062,25.9,5571,16.6,2740
1660636404,25.9,5571,16.7,2745
1660637352,25.9,5571,16.7,2745
1660638225,25.9,5571,16.7,2745
