Time,l_per,l_abs,b_per,b_abs
1660559654,16.2,534,8.2,155
1660559654,16.2,534,8.2,155
1660559654,16.3,538,8.3,157
1660559654,16.3,538,8.3,157
1660559668,25.7,847,17.0,322
1660559689,26.0,858,17.5,332
1660559719,28.4,937,20.8,394
1660559765,32.4,1071,24.7,469
1660559991,33.0,1092,25.6,485
1660560262,33.5,1109,26.2,498
1660560439,33.5,1109,26.3,499
1660560677,33.7,1113,26.9,511
1660561017,33.7,1115,27.1,515
1660561338,33.7,1115,27.1,515
1660561534,34.0,1124,27.2,517
1660561944,34.0,1124,27.2,517
1660563020,34.0,1124,27.2,517
1660564272,34.0,1124,27.2,517
1660565099,34.0,1124,27.2,517
1660566765,34.0,1124,27.2,517
